--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
042.399  006.011  000.031: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/blink.cmp/plugin/blink-cmp.lua
042.554  000.026  000.026: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/github-nvim-theme/plugin/github_theme.lua
042.805  000.158  000.158: require('gitsigns')
043.094  000.254  000.254: require('gitsigns.highlight')
043.254  000.147  000.147: require('gitsigns.debug.log')
043.490  000.235  000.235: require('gitsigns.config')
043.867  000.090  000.090: require('gitsigns.debounce')
043.877  001.240  000.356: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/gitsigns.nvim/plugin/gitsigns.lua
044.467  000.299  000.299: require('lspconfig.util')
044.688  000.216  000.216: require('vim.version')
045.675  001.629  001.114: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/nvim-lspconfig/plugin/lspconfig.lua
046.414  000.138  000.138: require('nvim-treesitter.utils')
048.345  000.108  000.108: require('vim.treesitter.language')
048.400  000.053  000.053: require('vim.func')
048.480  000.077  000.077: require('vim.func._memoize')
048.501  000.674  000.435: require('vim.treesitter.query')
048.609  000.107  000.107: require('vim.treesitter._range')
048.618  001.265  000.484: require('vim.treesitter.languagetree')
048.622  001.488  000.223: require('vim.treesitter')
049.477  003.062  001.574: require('nvim-treesitter.parsers')
050.499  000.095  000.095: require('nvim-treesitter.compat')
050.849  000.223  000.223: require('nvim-treesitter.ts_utils')
050.852  000.352  000.128: require('nvim-treesitter.tsrange')
050.941  000.088  000.088: require('nvim-treesitter.caching')
050.946  000.755  000.221: require('nvim-treesitter.query')
050.953  001.145  000.390: require('nvim-treesitter.configs')
050.955  001.476  000.330: require('nvim-treesitter.info')
051.150  000.190  000.190: require('nvim-treesitter.shell_command_selectors')
051.294  005.386  000.521: require('nvim-treesitter.install')
051.393  000.098  000.098: require('nvim-treesitter.statusline')
051.517  000.123  000.123: require('nvim-treesitter.query_predicates')
051.518  005.705  000.098: require('nvim-treesitter')
051.817  000.296  000.296: require('vim.iter')
052.217  006.427  000.426: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/nvim-treesitter/plugin/nvim-treesitter.lua
052.542  000.113  000.113: require('otter.config')
053.145  000.105  000.105: require('otter.tools.functions')
053.165  000.410  000.305: require('otter.keeper')
053.461  000.150  000.150: require('otter.lsp.handlers')
053.625  000.459  000.309: require('otter.lsp')
053.627  001.085  000.215: require('otter')
053.632  001.235  000.037: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/otter.nvim/plugin/otter.lua
054.212  000.193  000.193: require('quarto.config')
054.317  000.103  000.103: require('quarto.tools')
054.436  000.118  000.118: require('quarto.util')
054.438  000.666  000.251: require('quarto')
054.447  000.697  000.031: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/quarto-nvim/plugin/quarto.lua
054.758  000.171  000.171: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/telescope.nvim/plugin/telescope.lua
055.637  000.100  000.100: require('typst-preview.config')
055.661  000.274  000.174: require('typst-preview.utils')
056.137  000.170  000.170: require('typst-preview.fetch')
056.138  000.356  000.186: require('typst-preview.servers.factory')
056.142  000.480  000.124: require('typst-preview.servers.manager')
056.144  000.876  000.122: require('typst-preview.servers')
056.145  000.987  000.111: require('typst-preview.events.server')
056.243  000.097  000.097: require('typst-preview.events.editor')
056.244  001.189  000.106: require('typst-preview.events')
056.245  001.356  000.167: require('typst-preview.commands')
056.274  001.401  000.044: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/typst-preview.nvim/plugin/init.lua
056.458  000.017  000.017: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/which-key.nvim/plugin/which-key.lua
056.461  021.318  002.131: sourcing nvim_exec2() called at /Users/s_a_b/Documents/etc/dotfiles/config/nvim/init.lua:0
056.546  051.580  002.145: require('plugins')
057.417  000.031  000.031: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/vimtex/ftdetect/cls.vim
057.463  000.010  000.010: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/vimtex/ftdetect/tex.vim
057.505  000.008  000.008: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/vimtex/ftdetect/tikz.vim
057.512  000.320  000.270: sourcing nvim_exec2() called at /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/filetype.lua:0
057.514  000.373  000.053: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/filetype.lua
057.697  000.007  000.007: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/ftplugin.vim
057.813  000.006  000.006: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/indent.vim
057.878  000.802  000.416: sourcing nvim_exec2() called at /Users/s_a_b/Documents/etc/dotfiles/config/nvim/init.lua:0
241.964  185.417  184.614: require('config')
242.711  000.743  000.743: require('keymaps')
242.722  237.969  000.231: sourcing /Users/s_a_b/.config/nvim/init.lua
242.741  000.702: sourcing vimrc file(s)
242.979  000.058  000.058: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/syntax/synload.vim
243.033  000.202  000.144: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/syntax/syntax.vim
243.346  000.292  000.292: require('gitsigns.async')
244.075  000.022  000.022: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/plugin/gzip.vim
244.112  000.006  000.006: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/plugin/matchit.vim
244.146  000.007  000.007: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/plugin/matchparen.vim
244.181  000.008  000.008: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/plugin/netrwPlugin.vim
244.212  000.004  000.004: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/plugin/rplugin.vim
244.242  000.004  000.004: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/plugin/spellfile.vim
244.275  000.006  000.006: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/plugin/tarPlugin.vim
244.306  000.005  000.005: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/plugin/tutor.vim
